"model_id","name","north","south","east","west","lat","lng","scale","rotate","gps_mapping","color","zone_id"
"243","Fremont Troll","47.6513825881","47.6505947987","-122.3465502262","-122.3479557037","47.65107903701035","-122.34731197357233","0.0030660055754523664","0.05640644020766894","{'/projects/grail/photocity3/user_seeds/496/img8897.jpg': (47.65104293492201,-122.34725931426094),'/projects/grail/photocity3/user_seeds/496/img8920.jpg': (47.65100417463144,-122.34731089310354),'/projects/grail/photocity3/user_seeds/496/img8942.jpg': (47.65097705368463,-122.34734579145271),'/projects/grail/grail27/photocity27/bulk_files/images/144867.jpg': (47.65098299433989,-122.34731183476623),'/projects/grail/grail27/photocity27/bulk_files/images/144890.jpg': (47.651011192501585,-122.34730907896609),'/projects/grail/grail27/photocity27/bulk_files/images/144909.jpg': (47.65097015219012,-122.34727933199045),'/projects/grail/grail27/photocity27/bulk_files/images/144945.jpg': (47.650862833311436,-122.3472790961572),'/projects/grail/grail27/photocity27/bulk_files/images/144972.jpg': (47.650969920649494,-122.34727009601791),'/projects/grail/grail27/photocity27/bulk_files/images/144997.jpg': (47.651020723359075,-122.34729001776923),'/projects/grail/grail27/photocity27/bulk_files/images/145018.jpg': (47.65097774192421,-122.34730176370351),'/projects/grail/grail27/photocity27/bulk_files/images/145040.jpg': (47.650983242530785,-122.3473378220954),'/projects/grail/grail27/photocity27/bulk_files/images/145068.jpg': (47.65099890924929,-122.34730246957727),'/projects/grail/grail27/photocity27/bulk_files/images/145095.jpg': (47.65103249420853,-122.34731596902037),'/projects/grail/grail27/photocity27/bulk_files/images/145120.jpg': (47.65105765937116,-122.3473047165022),'/projects/grail/grail27/photocity27/bulk_files/images/145152.jpg': (47.65084240765368,-122.3473704768639),'/projects/grail/grail27/photocity27/bulk_files/images/145181.jpg': (47.650989688142346,-122.3472622291872),'/projects/grail/grail27/photocity27/bulk_files/images/145201.jpg': (47.6510428975622,-122.34731972070536),'/projects/grail/grail27/photocity27/bulk_files/images/145223.jpg': (47.65103409158893,-122.34732277417547),'/projects/grail/grail27/photocity27/bulk_files/images/145246.jpg': (47.65098438022497,-122.34725474929165),'/projects/grail/grail27/photocity27/bulk_files/images/145267.jpg': (47.65099221011234,-122.34730826928886),'/projects/grail/grail27/photocity27/bulk_files/images/145295.jpg': (47.651024297933034,-122.3472925792928),'/projects/grail/grail27/photocity27/bulk_files/images/145321.jpg': (47.650865637974924,-122.34726352546124),'/projects/grail/grail27/photocity27/bulk_files/images/145342.jpg': (47.650981564540764,-122.34732856182852),'/projects/grail/grail27/photocity27/bulk_files/images/145366.jpg': (47.65096301592405,-122.34729065750095),'/projects/grail/grail27/photocity27/bulk_files/images/145392.jpg': (47.65084971478351,-122.34738086902733),'/projects/grail/grail27/photocity27/bulk_files/images/145415.jpg': (47.65099351670639,-122.34729920917073),'/projects/grail/grail27/photocity27/bulk_files/images/145441.jpg': (47.65102019878237,-122.34725191054112),'/projects/grail/grail27/photocity27/bulk_files/images/145465.jpg': (47.65105037233766,-122.34732256954602),'/projects/grail/grail27/photocity27/bulk_files/images/145487.jpg': (47.650995973491426,-122.34729381590584),'/projects/grail/grail27/photocity27/bulk_files/images/145511.jpg': (47.6510138155141,-122.34735743685184),'/projects/grail/grail27/photocity27/bulk_files/images/145531.jpg': (47.65099646635886,-122.34733637936662),'/projects/grail/grail27/photocity27/bulk_files/images/145553.jpg': (47.65101496752292,-122.3473056428913),'/projects/grail/grail27/photocity27/bulk_files/images/145583.jpg': (47.65099427595525,-122.34739598352476),}","ff0000","18"
"100","Bauer Hall","42.4539985657","42.4534988403","-76.4782028198","-76.4787979126","42.45375061035156","-76.47850036621094","0","0",,"ff0000","23"
"101","Anabel Taylor Hall","42.44507598876953","42.44459915161133","-76.48542785644531","-76.48629760742188","42.44483947753906","-76.4858627319336","0","0",,"ff0000","23"
"102","Olin Hall","42.4461669921875","42.44521713256836","-76.48393249511719","-76.48505401611328","42.4456901550293","-76.48448944091797","0","0",,"ff0000","23"
"103","Carpenter Hall","42.44501876831055","42.444488525390625","-76.48381042480469","-76.48465728759766","42.44475555419922","-76.4842300415039","0","0",,"ff0000","23"
"104","Goldwin Smith Hall","42.449729919433594","42.44841384887695","-76.4829330444336","-76.48401641845703","42.44906997680664","-76.48347473144531","0","0",,"ff0000","23"
"105","Johnson Museum of Art","42.45095443725586","42.45045852661133","-76.48585510253906","-76.4864273071289","42.450706481933594","-76.48613739013672","0","0",,"ff0000","23"
"106","Olive Tjaden Hall","42.451053619384766","42.45073699951172","-76.4849624633789","-76.48574829101562","42.450897216796875","-76.48535919189453","0","0",,"ff0000","23"
"107","Lincoln Hall","42.450557708740234","42.44983673095703","-76.48310852050781","-76.48395538330078","42.4501953125","-76.48352813720703","0","0",,"ff0000","23"
"108","Helen Newman Hall","42.453189849853516","42.45269012451172","-76.47669982910156","-76.47804260253906","42.452938079833984","-76.47737121582031","0","0",,"ff0000","23"
"109","Fuertes Observatory","42.45286178588867","42.452659606933594","-76.47428894042969","-76.4747314453125","42.452762603759766","-76.4745101928711","0","0",,"ff0000","23"
"110","uris hall","42.447566986083984","42.446876525878906","-76.48173522949219","-76.48272705078125","42.44721984863281","-76.48223114013672","0","0",,"ff0000","23"
