"flag_id","model_id","latitude","longitude","omit","winning_team_id","winning_player_id","team1","team2","team3","team4","disputed","snapshot_id","collectable","collector"
"124","35","42.44686707637647","-76.48014401153561","0","3","0","0","0","2572","0","0","0","0","0"
"125","35","42.44652582848901","-76.48036901528431","0","2","0","0","122","48","0","1","0","0","0"
"126","35","42.44695215645788","-76.48025759875728","0","3","0","0","40","2778","0","0","0","0","0"
"127","35","42.44696984251617","-76.4800489709774","0","3","0","0","45","319","0","1","0","0","0"
"128","35","42.447068762511954","-76.48014168120639","0","3","0","0","226","2816","0","0","0","0","0"
"129","35","42.446814548029955","-76.48001333205032","0","3","0","0","0","133","0","1","0","0","0"
"130","35","42.44724579225905","-76.48012619338337","0","3","0","0","53","1236","0","1","0","0","0"
"131","35","42.447341084069244","-76.48024358097018","0","3","0","0","0","3607","0","0","0","0","0"
"132","35","42.44725552876552","-76.47998814801493","0","3","0","0","6","101","0","1","0","0","0"
"133","35","42.447259384602255","-76.48043203190687","0","0","0","0","0","56","0","1","0","0","0"
"134","35","42.4472159431332","-76.48057210713208","0","0","0","0","0","0","0","1","0","0","0"
"135","35","42.44747808324545","-76.48025756889373","0","0","0","0","0","0","0","1","0","0","0"
"136","11","47.65563265511575","-122.3070367263824","0","2","0","0","6269","447","2875","0","0","0","0"
"137","10","47.65566699974713","-122.31228475706747","1","4","0","6","0","118","402","1","0","0","0"
"138","10","47.656067062456096","-122.3124612259428","0","3","0","0","0","105","0","1","0","0","0"
"139","10","47.65595451310858","-122.31213847960595","0","3","0","0","0","439","271","1","0","0","0"
"140","10","47.65561290911914","-122.31256711600588","0","4","0","0","0","97","124","1","0","0","0"
"141","13","47.65427074218","-122.3065398986412","1","3","0","0","5235","31882","4578","0","0","0","0"
"142","31","47.65558726291725","-122.30890497465992","0","3","0","158","14","13813","5315","0","0","0","0"
"143","1","47.653396175889085","-122.30575275863423","1","3","7","644","289","25097","7516","0","0","0","0"
"144","13","47.65447702883477","-122.30684452085367","0","3","0","23","34","14423","10220","0","0","0","0"
